"rank","index","po_annotation","re_annotation","match_annotation"
1,"im5961.jpg","animals; indoor","","animals; indoor"
2,"im4551.jpg","animals; indoor","","animals; indoor"
3,"im6899.jpg","animals; indoor","","animals; indoor"
4,"im4293.jpg","animals; indoor; plant_life","","animals; indoor"
5,"im2503.jpg","animals","","animals"
6,"im10076.jpg","animals; indoor; plant_life","","animals; indoor"
7,"im6708.jpg","indoor; male; people","","indoor"
8,"im3302.jpg","animals; indoor","","animals; indoor"
9,"im6814.jpg","animals; flower; indoor; plant_life","flower","animals; indoor"
10,"im20287.jpg","animals; indoor; male; people","","animals; indoor"
