"rank","index","po_annotation","re_annotation","match_annotation"
1,"im24391.jpg","clouds; female; male; people; plant_life; river; sky; structures; transport; water","clouds","clouds; people; plant_life; sky; structures"
2,"im5955.jpg","clouds; sky; structures; sunset","clouds","clouds; sky; structures"
3,"im9353.jpg","clouds; female; people; sky; structures; sunset","","clouds; people; sky; structures"
4,"im13946.jpg","car; clouds; plant_life; sky; structures; sunset; transport","clouds","clouds; plant_life; sky; structures"
5,"im7833.jpg","car; clouds; plant_life; sky; structures; sunset; transport; tree","","clouds; plant_life; sky; structures; tree"
6,"im20175.jpg","car; lake; plant_life; sea; sky; structures; transport; tree; water","","plant_life; sky; structures; tree"
7,"im19856.jpg","lake; night; plant_life; sea; sky; structures; sunset; water","","plant_life; sky; structures"
8,"im15420.jpg","car; clouds; night; plant_life; sky; structures; sunset; transport; tree","clouds","clouds; plant_life; sky; structures; tree"
9,"im6721.jpg","clouds; lake; plant_life; river; sky; structures; sunset; tree; water","","clouds; plant_life; sky; structures; tree"
10,"im1404.jpg","night; sea; sky; structures; sunset; water","night","sky; structures"
