Img_name; labels; matching;
im640;girl, baby, fensterbme, ella, infant, expression, 5d, canon85mmf18, canon85mm, primelens, interestingness, interestingness278, i500, explore15jun08;QUERY;
im21765;kaite, girl, ghjellybean, monkey, closeup, ef2470f28l, canon, fremont, rebelxt,baby;baby,girl;
im15816;reallyreallycute, wonder, amazement, surprise, greateyes, awe, flickrgolfclub, baby;baby, girl;
im14915;3, girl, cute, toddler, addiction, adorable, lovely, angel, quot; baby, girl;
im2461;missingu, dodo, baby, beautifulsecrets; baby;
im17503;baby, girl;baby, girl;
im4228;baby;baby;
im8624;baby, bebe, newborn;baby;
im3430;ozren, ceklic, window, light, natural, lighting, 50mm, baby, 4month;baby;
im6641;baby,olliekottke, monthiversary;baby;
im20522;baby, portrait, abigail, lza, friends, family;baby;
