"rank","index","po_annotation","re_annotation","match_labels"
1,"im11464.jpg","clouds; plant_life; sky; tree","",""
2,"im23839.jpg","clouds; flower; plant_life; sky; structures","clouds","clouds"
3,"im452.jpg","clouds; plant_life; sky","",""
4,"im2167.jpg","night; plant_life; sky; sunset","night",""
5,"im8513.jpg","clouds; sea; sky; structures; sunset; transport; water","clouds","clouds"
6,"im24685.jpg","clouds; plant_life; sky; structures; sunset; tree; water","clouds","clouds"
7,"im16293.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","",""
8,"im16131.jpg","clouds; lake; plant_life; river; sky; sunset; water","clouds","clouds"
9,"im347.jpg","clouds; plant_life; river; sky; tree; water","river",""
10,"im460.jpg","clouds; river; sky; structures; sunset; water","",""
11,"im10022.jpg","clouds; male; people; plant_life; sky","people",""
12,"im8523.jpg","clouds; lake; plant_life; river; sky; sunset; water","",""
13,"im22097.jpg","clouds; plant_life; sky; structures; sunset; tree","",""
14,"im14924.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","",""
15,"im1699.jpg","flower; plant_life; sky; structures; tree","flower",""
16,"im8753.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
17,"im7982.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
18,"im3055.jpg","plant_life; transport","",""
19,"im4156.jpg","clouds; plant_life; sea; sky; sunset; tree; water","clouds","clouds"
20,"im7120.jpg","clouds; female; lake; male; people; river; sea; sky; sunset; transport; water","clouds; people","clouds"
21,"im11856.jpg","clouds; plant_life; sky; structures; transport; tree; water","clouds","clouds"
22,"im18541.jpg","clouds; lake; plant_life; sea; sky; sunset; water","clouds","clouds"
23,"im17327.jpg","clouds; lake; sea; sky; structures; water","clouds","clouds"
24,"im13094.jpg","clouds; lake; male; people; sea; sky; sunset; transport; water","clouds; people","clouds"
25,"im18447.jpg","clouds; lake; river; sky; sunset; water","clouds","clouds"
26,"im18943.jpg","lake; plant_life; river; sky; sunset; tree; water","",""
27,"im23798.jpg","clouds; night; plant_life; sea; sky; structures; tree; water","night",""
28,"im24219.jpg","clouds; lake; plant_life; river; sea; sky; sunset; water","clouds","clouds"
29,"im13340.jpg","clouds; lake; plant_life; sea; sky; tree; water","clouds","clouds"
30,"im24713.jpg","clouds; plant_life; river; sky; water","clouds; river","clouds"
31,"im8952.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds; river","clouds"
32,"im18182.jpg","clouds; plant_life; sky","",""
33,"im2256.jpg","clouds; plant_life; river; sky; structures; sunset; tree; water","",""
34,"im8166.jpg","clouds; lake; plant_life; river; sea; sky; sunset; tree; water","clouds","clouds"
35,"im8421.jpg","clouds; lake; plant_life; river; sea; sky; sunset; water","clouds","clouds"
36,"im12450.jpg","clouds; indoor; plant_life; sky; tree","clouds","clouds"
37,"im9608.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds; river","clouds"
38,"im22961.jpg","lake; plant_life; sea; sky; sunset; tree; water","",""
39,"im8354.jpg","clouds; lake; plant_life; sea; sky; sunset; tree; water","clouds","clouds"
40,"im2315.jpg","clouds; river; sky; structures; water","",""
41,"im15926.jpg","clouds; lake; plant_life; sea; sky; tree; water","clouds","clouds"
42,"im22498.jpg","clouds; lake; plant_life; sea; sky; sunset; tree; water","",""
43,"im16071.jpg","clouds; lake; sea; sky; structures; sunset; water","",""
44,"im9325.jpg","clouds; plant_life; river; sky; water","clouds","clouds"
45,"im21135.jpg","clouds; lake; plant_life; river; sea; sky; sunset; tree; water","",""
46,"im18955.jpg","clouds; lake; plant_life; sea; sky; tree; water","clouds; tree","clouds"
47,"im21247.jpg","plant_life; sky; sunset","",""
48,"im5097.jpg","clouds; sea; sky; sunset; water","clouds","clouds"
49,"im12937.jpg","clouds; night; sea; sky; sunset; water","",""
50,"im5789.jpg","clouds; lake; male; people; plant_life; sky; sunset; tree; water","clouds; male; people","clouds"
51,"im5835.jpg","clouds; lake; plant_life; sky; tree; water","clouds; tree","clouds"
52,"im3963.jpg","clouds; lake; plant_life; river; sky; sunset; transport; tree; water","clouds","clouds"
53,"im20698.jpg","clouds; lake; plant_life; river; sky; water","",""
54,"im1414.jpg","clouds; indoor; lake; plant_life; sky; tree; water","clouds","clouds"
55,"im24439.jpg","clouds; sea; sky; sunset; water","clouds; sea","clouds"
56,"im19236.jpg","male; people; plant_life; sky; tree","male; people",""
57,"im23668.jpg","clouds; lake; sea; sky; structures; water","",""
58,"im9822.jpg","clouds; sea; sky; sunset; water","clouds; sea","clouds"
59,"im13111.jpg","clouds; lake; night; river; sea; sky; structures; water","clouds; night","clouds"
60,"im18070.jpg","clouds; lake; male; people; plant_life; sea; sky; sunset; water","clouds; people","clouds"
61,"im14719.jpg","clouds; female; male; people; plant_life; river; sky; transport; tree; water","clouds; river","clouds"
62,"im19241.jpg","lake; plant_life; river; structures; tree; water","",""
63,"im9929.jpg","plant_life; sea; sky; sunset; tree; water","",""
64,"im14752.jpg","lake; plant_life; river; sea; sky; sunset; transport; tree; water","",""
65,"im3106.jpg","clouds; sea; sky; sunset; water","sea",""
66,"im12146.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","river",""
67,"im15997.jpg","clouds; plant_life; sea; sky; structures; tree; water","",""
68,"im708.jpg","clouds; plant_life; sky; structures; tree","",""
69,"im8495.jpg","clouds; lake; plant_life; river; sea; sky; sunset; tree; water","clouds","clouds"
70,"im15292.jpg","clouds; lake; sky; structures; sunset; water","clouds","clouds"
71,"im24242.jpg","clouds; plant_life; river; sea; sky; sunset; water","clouds","clouds"
72,"im20095.jpg","clouds; plant_life; sea; sky; sunset; transport; tree; water","clouds","clouds"
73,"im18228.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
74,"im6446.jpg","clouds; lake; river; sea; sky; structures; sunset; water","",""
75,"im14606.jpg","clouds; lake; plant_life; river; sky; sunset; transport; tree; water","clouds","clouds"
76,"im3756.jpg","clouds; lake; night; plant_life; sky; sunset; tree; water","night",""
77,"im10757.jpg","clouds; plant_life; sky; structures; sunset; transport; tree","clouds","clouds"
78,"im7709.jpg","clouds; lake; plant_life; river; sea; sky; sunset; tree; water","clouds","clouds"
79,"im22552.jpg","clouds; male; people; plant_life; river; sky; water","clouds; male; people","clouds"
80,"im8591.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
81,"im17591.jpg","clouds; plant_life; sky; sunset; tree","clouds","clouds"
82,"im1251.jpg","clouds; plant_life; sky","clouds","clouds"
83,"im23170.jpg","plant_life; river; sky; structures; sunset; water","",""
84,"im15575.jpg","clouds; lake; plant_life; river; sky; sunset; transport; tree; water","clouds; river","clouds"
85,"im18026.jpg","clouds; lake; sea; sky; sunset; water","",""
86,"im21081.jpg","clouds; sea; sky; structures; sunset; water","",""
87,"im3215.jpg","clouds; plant_life; sea; sky; tree; water","",""
88,"im2452.jpg","clouds; plant_life; sky; structures","clouds","clouds"
89,"im18311.jpg","clouds; lake; plant_life; river; sky; structures; tree; water","clouds","clouds"
90,"im24729.jpg","clouds; flower; plant_life; sky","clouds","clouds"
91,"im3917.jpg","clouds; sea; sky; sunset; water","",""
92,"im10653.jpg","clouds; lake; plant_life; river; sky; structures; sunset; tree; water","river",""
93,"im2581.jpg","clouds; lake; plant_life; sky; sunset; tree; water","clouds","clouds"
94,"im8716.jpg","clouds; lake; river; sky; structures; sunset; water","",""
95,"im23259.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
96,"im13921.jpg","clouds; lake; river; sky; sunset; transport; water","river",""
97,"im12537.jpg","clouds; night; sky","night",""
98,"im11239.jpg","clouds; lake; sky; water","clouds","clouds"
99,"im17051.jpg","clouds; lake; plant_life; river; sky; sunset; transport; tree; water","river",""
100,"im2234.jpg","clouds; plant_life; sky; structures; sunset; tree","",""
101,"im23210.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","clouds","clouds"
102,"im5478.jpg","clouds; plant_life; sky; structures; sunset","clouds","clouds"
103,"im13673.jpg","clouds; plant_life; sky; structures; sunset; tree","clouds","clouds"
104,"im384.jpg","clouds; sea; sky; structures; water","",""
105,"im24284.jpg","clouds; flower; plant_life; sky; tree","clouds","clouds"
106,"im15491.jpg","clouds; lake; night; plant_life; river; sky; structures; sunset; tree; water","",""
107,"im15253.jpg","clouds; lake; plant_life; sky; tree; water","",""
108,"im13958.jpg","clouds; sky; sunset; water","",""
109,"im4582.jpg","clouds; plant_life; sea; sky; sunset; tree; water","clouds","clouds"
110,"im22109.jpg","animals; dog; plant_life; sky; tree","dog",""
111,"im18157.jpg","clouds; lake; plant_life; river; sky; structures; tree; water","clouds","clouds"
112,"im23995.jpg","car; clouds; sea; sky; structures; transport; water","clouds","clouds"
113,"im15163.jpg","clouds; lake; night; river; sea; sky; sunset; water","",""
114,"im17060.jpg","clouds; plant_life; river; sky; transport; tree; water","clouds; river","clouds"
