"rank","index","po_annotation","re_annotation","match_annotation"
1,"im4680.jpg","animals; food; indoor","","animals; food; indoor"
2,"im5961.jpg","animals; indoor","","animals; indoor"
3,"im4551.jpg","animals; indoor","","animals; indoor"
4,"im7926.jpg","animals; indoor","","animals; indoor"
5,"im6899.jpg","animals; indoor","","animals; indoor"
6,"im8895.jpg","animals; indoor","","animals; indoor"
7,"im4293.jpg","animals; indoor; plant_life","","animals; indoor"
8,"im2503.jpg","animals","","animals"
9,"im10076.jpg","animals; indoor; plant_life","","animals; indoor"
10,"im6708.jpg","indoor; male; people","","indoor"
11,"im3302.jpg","animals; indoor","","animals; indoor"
12,"im6814.jpg","animals; flower; indoor; plant_life","flower","animals; indoor"
13,"im20287.jpg","animals; indoor; male; people","","animals; indoor"
14,"im20025.jpg","baby; indoor; people","","indoor"
15,"im23770.jpg","animals; indoor","","animals; indoor"
16,"im8264.jpg","animals; car; indoor; plant_life; structures; transport; tree","","animals; indoor"
17,"im21841.jpg","animals; indoor","","animals; indoor"
18,"im18972.jpg","animals; indoor","","animals; indoor"
19,"im7276.jpg","animals; indoor","","animals; indoor"
20,"im16764.jpg","female; flower; indoor; people; plant_life","","indoor"
21,"im22456.jpg","animals; indoor","","animals; indoor"
22,"im7989.jpg","animals; indoor","","animals; indoor"
23,"im2889.jpg","animals; indoor","","animals; indoor"
24,"im11883.jpg","animals; indoor","","animals; indoor"
25,"im15662.jpg","animals; indoor","","animals; indoor"
26,"im9971.jpg","indoor","","indoor"
27,"im4075.jpg","animals; indoor","","animals; indoor"
28,"im11957.jpg","female; flower; food; people; plant_life","","food"
29,"im10797.jpg","animals; indoor; plant_life; tree","","animals; indoor"
30,"im21175.jpg","animals; indoor","","animals; indoor"
31,"im23811.jpg","animals; female; indoor; people","","animals; indoor"
32,"im3056.jpg","animals; indoor","","animals; indoor"
33,"im15746.jpg","baby; female; indoor; male; people","male; people","indoor"
34,"im3012.jpg","indoor","","indoor"
35,"im10015.jpg","animals; indoor","","animals; indoor"
36,"im16272.jpg","animals; bird; indoor","","animals; indoor"
37,"im2800.jpg","flower; indoor; plant_life","","indoor"
38,"im3694.jpg","animals; dog; indoor","dog","animals; indoor"
39,"im6559.jpg","indoor","","indoor"
40,"im9781.jpg","animals; female; indoor; people; portrait","female; people; portrait","animals; indoor"
41,"im3588.jpg","indoor","","indoor"
42,"im14226.jpg","indoor","","indoor"
